Title,Author,Year,Citation count,Open access,Keyword
An Empirical Study on the Membership Inference Attack against Tabular Data Synthesis Models,Jihyeon Hyeong|Jayoung Kim|Noseong Park|Sushil Jajodia,2022,16,NOT Open Access,Computer science|Inference|Differential privacy|Context (archaeology)|Information leakage|Attack model|Data modeling|Data mining|Key (lock)|Machine learning|Computer security|Artificial intelligence|Database
HT-Fed-GAN: Federated Generative Model for Decentralized Tabular Data Synthesis,Shaoming Duan|Chuanyi Liu|Peiyi Han|Xiaopeng Jin|Xinyi Zhang|Tianyu He|Hezhong Pan|Xiayu Xiang,2022,16,Open Access,Categorical variable|Computer science|Data mining|Mixture model|Generative model|Representation (politics)|Gaussian|Differential privacy|Latent variable|Generative grammar|Artificial intelligence|Theoretical computer science|Machine learning|Algorithm
CasTGAN: Cascaded Generative Adversarial Network for Realistic Tabular Data Synthesis,Abdallah Alshantti|Damiano Varagnolo|Adil Rasheed|A Rahmati|Frank Westad,2024,16,Open Access,Computer science|Synthetic data|Replicate|Generator (circuit theory)|Data mining|Context (archaeology)|Machine learning|Artificial intelligence|Key (lock)|Generative grammar|Focus (optics)|Generative model|Adversarial system|Data validation|Dependency (UML)|Feature (linguistics)|Power (physics)|Mathematics|Database
TabuLa: Harnessing Language Models for Tabular Data Synthesis,Zilong Zhao|Robert Birke|Lydia Y. Chen,2023,11,Open Access,Computer science|Security token|Context (archaeology)|Language model|Data modeling|Artificial intelligence|Data model (GIS)|Sequence (biology)|Natural language processing|Database
STaSy: Score-based Tabular data Synthesis,"Kim, Jayoung|Chaejeong Lee|Noseong Park",2022,9,Open Access,Computer science|Benchmark (surveying)|Task (project management)|Machine learning|Generative grammar|Generative model|Artificial intelligence|Code (set theory)|Sampling (signal processing)|Quality (philosophy)|Matching (statistics)|Data mining|Statistics|Mathematics
Permutation-Invariant Tabular Data Synthesis,Yujin Zhu|Zilong Zhao|Robert Birke|Lydia Y. Chen,2022,7,Open Access,Permutation (music)|Computer science|Synthetic data|Invariant (physics)|Algorithm|Property (philosophy)|Data mining|External Data Representation|Big data|Autoencoder|Theoretical computer science|Artificial intelligence|Artificial neural network|Mathematics
Invertible Tabular GANs: Killing Two Birds with OneStone for Tabular Data Synthesis,Jaehoon Lee|Jihyeon Hyeong|Jinsung Jeon|Noseong Park|Ji‐Hoon Cho,2022,10,Open Access,Invertible matrix|Computer science|Regularization (linguistics)|Robustness (evolution)|Adversarial system|Data mining|Synthetic data|Regression|Training set|Artificial neural network|Algorithm|Artificial intelligence|Machine learning|Mathematics|Statistics
Systematic Assessment of Tabular Data Synthesis,Yuntao Du|Ninghui Li,2025,5,Open Access,Computer science|Algorithm
A Learnable Discrete-Prior Fusion Autoencoder with Contrastive Learning for Tabular Data Synthesis,Rongchao Zhang|Yiwei Lou|Dexuan Xu|Yongzhi Cao|Hanpin Wang|Yu Huang,2024,9,Open Access,Autoencoder|Artificial intelligence|Fusion|Computer science|Pattern recognition (psychology)|Deep learning|Linguistics|Philosophy
Bi-Discriminator Gan for Tabular Data Synthesis,Mohammad Esmaeilpour|Nourhene Chaalia|Adel Abusitta|François-Xavier Devailly|Wissem Maazoun|Patrick Cardinal,2022,4,Open Access,Discriminator|Discriminative model|Computer science|Generator (circuit theory)|Binary number|Preprocessor|Metric (unit)|Benchmarking|Term (time)|Data mining|Artificial intelligence|Machine learning|Algorithm|Pattern recognition (psychology)|Mathematics|Engineering|Detector|Telecommunications|Power (physics)
HARMONIC: Harnessing LLMs for Tabular Data Synthesis and Privacy Protection,Yuxin Wang|Duanyu Feng|Yongfu Dai|Zhengyu Chen|Jimin Huang|Sophia Ananiadou|Qianqian Xie|Hao Wang,2024,5,NOT Open Access,Information privacy|Data Protection Act 1998|Confidentiality|Key (lock)|Privacy protection|Government (linguistics)
Balancing Act: MDGAN for Imbalanced Tabular Data Synthesis,Hongwei Ding|Nana Huang|Qi Tao|Jiaqi Liang|Xiaohui Cui,2025,4,NOT Open Access,Oversampling|Subspace topology|Generator (circuit theory)|Class (philosophy)|Adversarial system|Sample (material)|Generative grammar|Data modeling
Benchmarking Differentially Private Tabular Data Synthesis: [Experiments & Analysis],Kai Chen|Xiaochen Li|Chen Gong|Ryan McKenna|Tianhao Wang,2025,4,Open Access,Benchmarking|Benchmark (surveying)|Code (set theory)|Feature (linguistics)|Safeguarding|Statistical model|Data modeling
TabTransGAN: A hybrid approach integrating GAN and transformer architectures for tabular data synthesis,Hanbing Zhang|Yinan Jing|Fei Zhang|Zhixin Li|X. Sean Wang|Zhenqiang Chen|Cheng Lv,2025,5,NOT Open Access,Transformer|Computer science|Computer architecture|Engineering|Electrical engineering|Voltage
HARMONIC: Harnessing LLMs for Tabular Data Synthesis and Privacy Protection,"Yuxin Wang|Duanyu Feng|Dai, Yongfu|Zhengyu Chen|Jimin Huang|Sophia Ananiadou|Qianqian Xie|Hao Wang",2024,4,Open Access,Harmonic|Computer security|Internet privacy|Business|Computer science|Physics|Acoustics
C3-TGAN- Controllable Tabular Data Synthesis with Explicit Correlations and Property Constraints,Peiyi Han|Wen Xu|Lun Xin|Wanyu Lin|Jiahao Cao|Chuanyi Liu|Shaoming Duan|Haifeng Zhu,2023,4,Open Access,Property (philosophy)|Computer science|Benchmark (surveying)|Control (management)|Data mining|Algorithm|Artificial intelligence
Multi-objective evolutionary GAN for tabular data synthesis,Nian Ran|Bahrul Ilmi Nasution|Claire Little|Richard Allmendinger|Mark Elliot,2024,2,NOT Open Access,Computer science
Navigating Tabular Data Synthesis Research Understanding User Needs and Tool Capabilities,Maria F. Davila R|Sven Groen|Fabian Panse|Wolfram Wingerath,2025,3,Open Access,Computer science|Task (project management)|Set (abstract data type)|Column (typography)|Data science|Selection (genetic algorithm)|Data mining|Data management|Data set|Database|Engineering|Systems engineering|Machine learning|Artificial intelligence
Tabular Data Synthesis with GANs for Adaptive AI Models,Sandeep Hans|Anupam Sanghi|Diptikalyan Saha,2024,2,Open Access,Computer science|Constraint (computer-aided design)|Limiting|Set (abstract data type)|Data modeling|Synthetic data|Data set|Training set|Data mining|Demographics|Algorithm|Artificial intelligence|Database|Mathematics|Programming language
VT-GAN: Cooperative Tabular Data Synthesis using Vertical Federated Learning,Zilong Zhao|Han Wu|Aad van Moorsel|Lydia Y. Chen,2023,3,Open Access,Computer science|Discriminator|Scalability|Generator (circuit theory)|Artificial intelligence|Shuffling|Machine learning|Key (lock)|Data mining|Data quality|Database
Generative AI for Tabular Data Synthesis,Alex X. Wang|Binh P. Nguyen|Colin R Simpson,2025,1,NOT Open Access,Computer science|Generative grammar|Artificial intelligence|Natural language processing
"Benchmarking Tabular Data Synthesis: Evaluating Tools, Metrics, and Datasets on Prosumer Hardware for End-Users",Maria Fernanda Davila Restrepo|Benjamin Wollmer|Fabian Panse|Wolfram Wingerath,2025,3,Open Access,Benchmarking|Benchmark (surveying)|Data aggregator|Resource (disambiguation)|Missing data|Source code|Bayesian probability|Prosumer|Selection (genetic algorithm)
Distributed GAN with Swift Learning Mechanism for Scalable Multi-Party Tabular Data Synthesis,Imam Mustafa Kamal|Chastine Fatichah,2024,3,NOT Open Access,Swift|Scalability|Computer science|Mechanism (biology)|Database|Programming language|Physics
An Empirical Study of Utility and Disclosure Risk for Tabular Data Synthesis Models: In-Depth Analysis and Interesting Findings,Dae Young Park|In‐Young Ko,2024,3,NOT Open Access,Computer science|Empirical research|Data mining|Statistics|Mathematics
SampleLLM: Optimizing Tabular Data Synthesis in Recommendations,Jingtong Gao|Zhaocheng Du|Xiaopeng Li|Yichao Wang|Xiangyang Li|Huifeng Guo|Ruiming Tang|Xiangyu Zhao,2025,1,Open Access,Computer science|Data science|Data mining|Information retrieval
DataShot: Automatic Generation of Fact Sheets from Tabular Data,Yun Wang|Zhida Sun|Haidong Zhang|Weiwei Cui|Ke Xu|Xiaojuan Ma|Dongmei Zhang,2019,178,Open Access,Infographic|Computer science|Workflow|Data visualization|Pipeline (software)|Process (computing)|Presentation (obstetrics)|Visualization|Raw data|Wizard|Personalization|Data science|Data mining|Information retrieval|World Wide Web|Database
SampleLLM: Optimizing Tabular Data Synthesis in Recommendations,Jingtong Gao|Zhaocheng Du|Xiaopeng Li|Yichao Wang|Xiangyang Li|Huifeng Guo|Ruiming Tang|Xiangyu Zhao,2025,1,Open Access,Computer science
Application of Generative Adversarial Network Tabular Data Synthesis for Federal Learning-based Thermal Process Performance Prediction,Lewei Xu|Yong Liu,2022,4,NOT Open Access,Machine learning|Computer science|Artificial intelligence|Process (computing)|Performance prediction|Data modeling|Novelty|Data mining|Simulation|Database
LogiCoTab: Controllable Tabular Data Synthesis with Logical Relationships Awareness,Ziyue Wang|Hongwei Ding|Yunqi Liu|Yan Feng|Xiaohui Cui,2025,1,NOT Open Access,Controllability|Synthetic data|Logical data model|Data manipulation language|Control (management)|Lossy compression|Generative model|Logical consequence
DAGAF: A directed acyclic generative adversarial framework for joint structure learning and tabular data synthesis,Hristo Petkov|Calum MacLellan|Feng Dong,2025,2,Open Access,Computer science|Generative model|Machine learning|Generative grammar|Benchmark (surveying)|Artificial intelligence|Directed acyclic graph|Causal model|Causal structure|Algorithm|Mathematics
RCC-GAN: Regularized Compound Conditional GAN for Large-Scale Tabular Data Synthesis,Mohammad Esmaeilpour|Nourhene Chaalia|Adel Abusitta|François-Xavier Devailly|Wissem Maazoun|Patrick Cardinal,2022,2,Open Access,Regularization (linguistics)|Computer science|Binary number|Benchmarking|Stability (learning theory)|Artificial intelligence|Algorithm|Data mining|Machine learning|Mathematics
Balanced Mixed-Type Tabular Data Synthesis with Diffusion Models,"Zeyu Yang|Yu, Han|Peikun Guo|Khadija Zanna|Yang, Xiaoxue|Akane Sano",2024,1,Open Access,Type (biology)|Diffusion|Computer science|Econometrics|Mathematics|Geology|Thermodynamics|Physics
Challenges and opportunities of generative models on tabular data,Alex X. Wang|Stefanka Chukova|Colin R Simpson|Binh P. Nguyen,2024,64,Open Access,Computer science|Generative grammar|Data science|Artificial intelligence
C3-TGAN- Controllable Tabular Data Synthesis with Explicit Correlations and Property Constraints,Peiyi Han|Wen Xu|Wanyu Lin|Jiahao Cao|Chuanyi Liu|Shaoming Duan|Haifeng Zhu,2023,1,Open Access,Property (philosophy)|Computer science|Benchmark (surveying)|Control (management)|Data mining|Algorithm|Artificial intelligence
Anonymization Procedures for Tabular Data: An Explanatory Technical and Legal Synthesis,Robert Aufschläger|Jakob Folz|Elena März|Johann Guggumos|Michael Heigl|Benedikt Buchner|Martin Schramm,2023,9,Open Access,Data anonymization|Computer science|Categorical variable|Context (archaeology)|Terminology|Data mining|Enforcement|Personally identifiable information|Data science|European union|Data Protection Act 1998|Confidentiality|Information privacy|Anonymity|General Data Protection Regulation|Information retrieval|Computer security|Machine learning|Law
Versatile latent distribution-preserving tabular data synthesis-based endovascular treatment selection for intracranial aneurysm,Qian Yang|Chubin Ou|Kang Li|Zhongxiao Wang|Yucong Zhang|Xiangyun Liao|Jianping Lv|Weixin Si,2024,2,NOT Open Access,Computer science|Selection (genetic algorithm)|Distribution (mathematics)|Aneurysm|Endovascular treatment|Artificial intelligence|Radiology|Medicine|Mathematics
CATS : An enhanced framework in LLM-based tabular data synthesis by correlation augmentation,Luyu Chen|Mingxuan Jiang|Ziyue Dai|Sen Liu|Hongfeng Chai,2026,1,Open Access,Correlation|Pattern recognition (psychology)|Data correlation|Correlation coefficient
A comparative exploration of two diffusion generative models on tabular data synthesis,Neetu Kumari|Enayat Rajabi,2024,1,NOT Open Access,Generative grammar|Diffusion|Computer science|Artificial intelligence|Physics
CasTGAN: Cascaded Generative Adversarial Network for Realistic Tabular Data Synthesis,Abdallah Alshantti|Damiano Varagnolo|Adil Rasheed|A Rahmati|Frank Westad,2023,1,Open Access,Computer science|Synthetic data|Robustness (evolution)|Replicate|Generator (circuit theory)|Generative grammar|Adversarial system|Generative model|Artificial intelligence|Machine learning|Data mining|Context (archaeology)|Key (lock)|Focus (optics)|Power (physics)
Software for a cascade/parallel formant synthesizer,Dennis H. Klatt,1980,1591,NOT Open Access,Computer science|Formant|Cascade|Speech synthesis|Software|Direct digital synthesizer|Fortran|Aperiodic graph|Frequency synthesizer|Speech recognition|Programming language|Mathematics|Vowel|Telecommunications|Engineering
Quality boost of tabular data synthesis using interpolative cumulative distribution function decoding and type-specific conditioner,Seungchan Roh|Seunghwan Song|K.-M. Park|Byoung-mo Koo|Jun‐Geol Baek,2025,1,NOT Open Access,Cumulative distribution function|Quality (philosophy)|Function (biology)|Computer science|Type (biology)|Distribution (mathematics)|Mathematics|Statistics|Probability density function|Physics|Mathematical analysis
Features and uses of high-fidelity medical simulations that lead to effective learning: a BEME systematic review,S. Barry Issenberg|William C. McGaghie|Emil Petrusa|David Lee Gordon|Ross J. Scalese,2005,3945,NOT Open Access,PsycINFO|Data extraction|Computer science|Context (archaeology)|MEDLINE|Protocol (science)|Medical education|Inclusion (mineral)|Fidelity|Systematic review|Data science|Psychology|Information retrieval|Medicine|Alternative medicine|Social psychology
The Toxicity Data Landscape for Environmental Chemicals,Richard Judson|Ann Richard|David J. Dix|Keith A. Houck|Matthew T. Martin|Robert J. Kavlock|Vicki L. Dellarco|Tala R. Henry|Todd S. Holderman|Philip Sayre|Shirlee Tan|Thomas L. Carpenter|Edwin Smith,2008,508,Open Access,Prioritization|Agency (philosophy)|Environmental impact statement|Environmental data|Risk assessment|Toxicology|Environmental planning|Environmental health|Business|Environmental science|Computer science|Environmental impact assessment|Medicine|Biology|Ecology
Thermal Conductivity of the Elements,Ching-Yen Ho|R.W. Powell|P. E. Liley,1972,914,NOT Open Access,Thermal conductivity|Chemistry|Work (physics)|Conductivity|Thermal|Thermodynamics|Table (database)|Data mining|Physical chemistry|Physics|Computer science
Composite Travel Generative Adversarial Networks for Tabular and Sequential Population Synthesis,Godwin Badu-Marfo|Bilal Farooq|Zachary Patterson,2022,33,NOT Open Access,Generative grammar|Computer science|Population|Similarity (geometry)|Trajectory|Sequence (biology)|Artificial intelligence|Microsimulation|Generative model|Synthetic data|Data mining|Machine learning|Engineering|Transport engineering
TTVAE: Transformer-based generative modeling for tabular data generation,Alex X. Wang|Binh P. Nguyen,2025,26,Open Access,Transformer|Computer science|Generative grammar|Artificial intelligence|Engineering|Electrical engineering
Practical Handbook of Physical Properties of Rocks and Minerals (1988),R. Stephen Carmichael,2017,775,NOT Open Access,Geochemistry|Geology
Imb-FinDiff: Conditional Diffusion Models for Class Imbalance Synthesis of Financial Tabular Data,Marco Schreyer|Timur Sattarov|Alex Sim|Kesheng Wu,2024,4,Open Access,Class (philosophy)|Diffusion|Computer science|Artificial intelligence|Physics|Thermodynamics
OCT-GAN: Neural ODE-based Conditional Tabular GANs,Jayoung Kim|Jinsung Jeon|Jae Hoon Lee|Jihyeon Hyeong|Noseong Park,2021,31,Open Access,Discriminator|Computer science|Cluster analysis|Ode|Generator (circuit theory)|Concatenation (mathematics)|Artificial neural network|Data mining|Artificial intelligence|State vector|State (computer science)|Hidden Markov model|Pattern recognition (psychology)|Algorithm|Power (physics)|Mathematics
Synthesis of Hybrid Data Consisting of Chest Radiographs and Tabular Clinical Records Using Dual Generative Models for COVID-19 Positive Cases,Tomohiro Kikuchi|Shouhei Hanaoka|Takahiro Nakao|Tomomi Takenaga|Yukihiro Nomura|Harushi Mori|T. Yoshikawa,2024,7,Open Access,Computer science|Artificial intelligence|Encoding (memory)|Encoder|Receiver operating characteristic|Data set|Generative model|Decoding methods|Pattern recognition (psychology)|Image (mathematics)|Synthetic data|Set (abstract data type)|Training set|Machine learning|Generative grammar|Algorithm
ToolWriter: Question Specific Tool Synthesis for Tabular Data,Carlos Gemmell|Jeff Dalton,2023,2,Open Access,Computer science|Table (database)|Artificial neural network|Artificial intelligence|Natural language processing|Process (computing)|Information retrieval|Data mining|Machine learning|Programming language
Issues in Analysis and Presentation of Dietary Data,Walter C. Willett,2012,210,NOT Open Access,Presentation (obstetrics)|CLARITY|Data presentation|Audience measurement|Field (mathematics)|Computer science|Data science|Medicine|Mathematics|Political science|Chemistry|Documentation
Conducting systematic reviews of association (etiology),Sandeep Moola|Zachary Munn|Kim Sears|Raluca Sfetcu|Marian J. Currie|Karolina Lisy|Cătălin Tufănaru|Rubab Qureshi|Patrick Mattis|Pei‐Fan Mu,2015,852,NOT Open Access,Systematic review|Etiology|Observational study|Critical appraisal|Population|Medicine|Psychological intervention|MEDLINE|Disease|Evidence-based medicine|Psychology|Alternative medicine|Pathology|Psychiatry|Biology|Environmental health
Deterministic Autoencoder using Wasserstein loss for tabular data generation,Alex X. Wang|Binh P. Nguyen,2025,18,Open Access,Autoencoder|Computer science|Artificial intelligence|Pattern recognition (psychology)|Algorithm|Mathematics|Artificial neural network
"Large Language Models(LLMs) on Tabular Data: Prediction, Generation, and Understanding -- A Survey",Xi Fang|Weijie Xu|Fiona Anting Tan|Jiani Zhang|Ziqing Hu|Yanjun Qi|Scott Nickleach|Diego A. Socolinsky|Srinivasan H. Sengamedu|Christos Faloutsos,2024,22,Open Access,Computer science|Data science|Natural language processing
Tabular generative modeling framework for multi-property data synthesis of pyrolyzed biochar,Yang Yang|Weishuai Li|Jingang Huang|Ruilin Wang|Wei Han|Rongbing Zhou|Shanshan Qiu|Xiaobin Xu,2025,2,NOT Open Access,Biochar|Pyrolysis|Property (philosophy)|Environmental science|Generative grammar|Biochemical engineering|Computer science|Waste management|Engineering|Artificial intelligence
Synthesis of data completion scripts using finite tree automata,Xinyu Wang|Işıl Dillig|Rishabh Singh,2017,46,Open Access,Computer science|Scripting language|Sketch|Programming language|Relational database|Digital subscriber line|Theoretical computer science|Artificial intelligence|Data mining|Algorithm
Bayesian synthesis of probabilistic programs for automatic data modeling,Feras A. Saad|Marco Cusumano-Towner|Ulrich Schaechtle|Martin Rinard|Vikash K. Mansinghka,2019,41,Open Access,Computer science|Probabilistic logic|Probabilistic relevance model|Data mining|Bayesian probability|Machine learning|Artificial intelligence|Theoretical computer science|Probabilistic analysis of algorithms
Synthesis of Tabular Financial Data using Generative Adversarial Networks,Anton Karlsson|Torbjörn Sjöberg,2020,1,Open Access,Adversarial system|Business|Finance|Computer science|Marketing|Artificial intelligence
"Deep Generative Models, Synthetic Tabular Data, and Differential Privacy: An Overview and Synthesis",Conor Hassan|Robert Salomone|Kerrie Mengersen,2023,1,Open Access,Generative grammar|Computer science|Generative model|Normalization (sociology)|Artificial intelligence|Deep learning|Context (archaeology)|Data science|Machine learning
"Generate, Transform, Answer: Question Specific Tool Synthesis for Tabular Data",Carlos Gemmell|Jeff Dalton,2023,1,Open Access,Computer science|Table (database)|Artificial intelligence|Process (computing)|Artificial neural network|Natural language processing|Question answering|Information retrieval|Machine learning|Data mining|Programming language
Population Synthesis Using Iterative Proportional Fitting (IPF): A Review and Future Research,Abdoul-Ahad Choupani|Amir Reza Mamdoohi,2016,67,Open Access,Rounding|Population|Computer science|Mathematical optimization|Algorithm|Data mining|Mathematics|Medicine
Bayesian synthesis of probabilistic programs for automatic data modeling,Feras A. Saad|Marco F. Cusumano-Towner|Ulrich Schaechtle|Martin C. Rinard|Vikash K. Mansinghka,2019,28,Open Access,Probabilistic logic|Probabilistic relevance model|Soundness|Class (philosophy)|Statistical model|Bayesian probability|Bayesian inference|Data structure|Key (lock)
EPIC: Effective Prompting for Imbalanced-Class Data Synthesis in Tabular Data Classification via Large Language Models,Jinhee Kim|Jin Hee Kim|Jaegul Choo,2024,1,NOT Open Access,Data classification|Data modeling|Class (philosophy)|Natural language|Identification (biology)|Pattern recognition (psychology)
EPIC: Effective Prompting for Imbalanced-Class Data Synthesis in Tabular Data Classification via Large Language Models,Jin-Hee Kim|Tae-Sung Kim|Jaegul Choo,2024,1,Open Access,Group (periodic table)|Natural language processing|Computer science|Artificial intelligence|Linguistics|Chemistry|Philosophy
DPTVAE: Data-driven prior-based tabular variational autoencoder for credit data synthesizing,Yandan Tan|Hongbin Zhu|Jie Wu|Hongfeng Chai,2023,14,NOT Open Access,Autoencoder|Computer science|Decoding methods|Encoding (memory)|Gaussian|Data mining|Feature (linguistics)|Mixture model|Conditional probability distribution|Artificial intelligence|Pattern recognition (psychology)|Machine learning|Algorithm|Artificial neural network|Mathematics|Statistics
An evidence-based environmental perspective of manufactured silver nanoparticle in syntheses and applications: A systematic review and critical appraisal of peer-reviewed scientific papers,Thabet Tolaymat|Amro M. El Badawy|Ash Genaidy|Kirk G. Scheckel|Todd P. Luxton|Makram T. Suidan,2009,814,NOT Open Access,Nanotechnology|Silver nanoparticle|Nanoparticle|Nanomaterials|Materials science|Bimetallic strip|Metal
A Deep Learning-Based Pipeline for the Generation of Synthetic Tabular Data,Daniele Panfilo|Alexander Boudewijn|Sebastiano Saccani|Andrea Coser|Borut Svara|Carlo Rossi Chauvenet|Ciro Antonio Mami|Eric Medvet,2023,16,Open Access,Computer science|Big data|Service (business)|Artificial intelligence|Deep learning|Service provider|Table (database)|Machine learning|Data modeling|Unsupervised learning|Pipeline (software)|Data science|Data mining|Database
DTGAN: Differential Private Training for Tabular GANs,Aditya Kunar|Robert Birke|Zilong Zhao|Lydia Y. Chen,2021,9,Open Access,Differential (mechanical device)|Training (meteorology)|Computer science|Geography|Physics|Thermodynamics
Proposal for Standardized Tabular Reporting of Observational Surgical Studies Illustrated in a Study on Primary Repair of Bile Duct Injuries,Jai Young Cho|Allison R. Jaeger|Dominic E. Sanford|Ryan C. Fields|Steven M. Strasberg,2015,26,NOT Open Access,Medicine|Cholecystectomy|Observational study|Bile duct|Demographics|General surgery|Surgery|Internal medicine
AutoDiff: combining Auto-encoder and Diffusion model for tabular data synthesizing,Namjoon Suh|Xiaofeng Lin|D. H. Hsieh|Merhdad Honarkhah|Guang Cheng,2023,5,Open Access,Computer science|Leverage (statistics)|Encoder|Synthetic data|Trustworthiness|Artificial intelligence|Code (set theory)|Architecture|Data mining|Machine learning|Programming language
Private Tabular Survey Data Products through Synthetic Microdata Generation,Jingchen Hu|Terrance D. Savitsky|Matthew R. Williams,2022,10,NOT Open Access,Microdata (statistics)|Differential privacy|Computer science|Survey data collection|Data mining|Probabilistic logic|Synthetic data|Information retrieval|Statistics|Algorithm|Census|Mathematics|Artificial intelligence
Generative AI for synthetic data across multiple medical modalities: A systematic review of recent developments and challenges,Mahmoud Ibrahim|Yasmina Al Khalil|Sina Amirrajab|Chang Sun|Marcel Breeuwer|Josien P. W. Pluim|Bart Elen|Gökhan Ertaylan|Michel Dumontier,2025,114,Open Access,Modalities|Generative grammar|Computer science|Artificial intelligence|Synthetic data|Data science
"Thiol and thioether-based metal–organic frameworks: synthesis, structure, and multifaceted applications",Rajesh Patra|Sumit Mondal|Debajit Sarma,2023,42,NOT Open Access,Thioether|Thiol|Chemistry|Metal-organic framework|Combinatorial chemistry|Polymer chemistry|Organic chemistry
Tabular transformer generative adversarial network for heterogeneous distribution in healthcare,Ha Ye Jin Kang|Minsam Ko|Kwang Sun Ryu,2025,13,Open Access,Discretization|Transformer|Computer science|Interdependence|Generative grammar|Adversarial system|Generative adversarial network|Converters|Copula (linguistics)|Data mining|Machine learning|Health care|Artificial intelligence|Deep learning|Mathematics|Econometrics|Engineering
CoDi: Co-evolving Contrastive Diffusion Models for Mixed-type Tabular Synthesis,"Chaejeong Lee|Kim, Jayoung|Noseong Park",2023,4,Open Access,Computer science|Diffusion|Generative model|Process (computing)|Sampling (signal processing)|Generative grammar|Artificial intelligence|Algorithm|Machine learning|Computer vision
"Population Synthesis: Comparing the Major Techniques Using a Small, Complete Population of Firms",Justin Ryan|Hanna Maoh|Pavlos Kanaroglou,2009,72,NOT Open Access,Microdata (statistics)|Population|Sample (material)|Computer science|Synthetic data|Quality (philosophy)|Confidentiality|Data mining|Sample size determination|Statistics|Econometrics|Mathematics|Artificial intelligence|Census|Demography
Generating tabular datasets under differential privacy,Gianluca Truda,2023,5,Open Access,Computer science|Leverage (statistics)|Differential privacy|Fidelity|Generative grammar|Adversarial system|Data quality|Process (computing)|Synthetic data|Data mining|Machine learning|Generative adversarial network|Quality (philosophy)|Artificial intelligence|Information privacy|Deep learning|Computer security
Permutation-Invariant Tabular Data Synthesis,Yujin Zhu|Zilong Zhao|Robert Birke|Lydia Y. Chen,2022,0,Open Access,Permutation (music)|Computer science|Synthetic data|Data mining|Invariant (physics)|Column (typography)|Property (philosophy)|Algorithm|Theoretical computer science|Mathematics
