waterfront,view,condition,borrar,date,bedrooms,bathrooms,sqft_living,sqft_lot,floors,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,price
0,0,3,4670,215,3,206,5074,16007,49,5,5071,0,4715,0,1716,1887,16505,6437,18606,339326.0733802987
0,0,3,3551,12795,4,75,1857,5446,0,4,527,336,902,0,3087,18112,5876,2392,4365,380000.0
0,0,2,5870,13129,4,506,14918,1819,49,7,11173,3381,6199,0,2389,19264,7363,4343,2541,923793.005046731
0,0,2,12365,4990,3,360,3036,788,49,5,1693,602,6199,0,3774,15320,6158,1866,1491,428307.3279000272
0,0,2,12623,929,3,419,8443,15389,49,6,8292,0,4364,0,2006,26320,14571,4859,13294,475000.0
0,0,2,25662,5361,2,464,9916,6228,49,6,10052,0,5928,0,1285,26391,14126,7093,10534,399208.4458646451
0,0,2,10747,14294,3,75,1888,14625,0,5,2084,0,2043,0,4230,5358,7660,6008,16895,128528.912874354
0,0,2,23018,1950,3,75,1388,8957,0,5,1641,0,4120,0,2430,22977,7857,2455,5072,326691.61698045675
0,0,2,25313,12010,5,419,14827,7573,49,8,14212,0,6369,0,2069,8850,11781,10813,6986,609474.4241683026
0,0,2,26151,6516,3,264,2316,16119,0,5,2755,0,4016,0,1348,23376,10263,2643,14162,369309.5781914542
0,0,3,7933,15779,3,360,13757,20206,0,6,6774,5413,2850,0,24,16751,9241,13571,20950,1705607.4443011468
0,0,2,22671,1543,4,419,5863,13589,49,5,5885,0,4994,0,1209,23375,16055,4116,6633,361483.7714008657
0,0,3,22171,9572,3,419,5302,4081,16,5,5351,0,1225,0,3588,13272,5945,4006,4141,570000.0
0,0,2,8629,11349,4,264,9521,14731,0,6,6774,1866,3161,0,4129,9942,6915,7211,10717,401211.88555874967
0,0,2,5551,1334,4,75,8878,2005,49,6,6312,1391,397,0,3315,14495,5620,4647,3133,515000.0
0,0,4,23030,3793,4,206,5168,4851,0,6,5351,0,1579,0,3535,15251,1868,3713,4373,709506.1545841115
0,0,2,1035,10516,3,264,11616,20988,0,7,12376,0,3562,0,3238,25413,11071,11630,22361,625000.0
0,2,2,22640,10478,4,506,16032,16772,49,8,12981,2864,5175,0,3588,16052,746,12721,17483,1046889.8245509174
0,0,3,23216,13999,4,419,10776,7490,0,6,4499,4233,4773,0,1348,4667,9693,8480,10451,396360.9302951522
0,0,2,21615,6783,4,619,17722,22593,49,8,16062,0,5810,0,1292,13149,16138,10892,23268,1594994.9274873582
0,3,2,14529,9524,4,360,14628,5828,49,7,13571,0,4427,0,2602,18812,11487,4820,4411,843137.6871570683
0,0,2,3235,9854,2,264,2929,22556,0,4,3180,0,3628,0,2069,7392,59,3526,22289,235000.0
0,0,2,4176,3291,2,75,877,6596,0,5,1130,0,2389,0,4281,19818,834,64,6706,424650.6833443626
0,0,2,26052,11989,4,309,11914,14647,0,6,5351,4828,4070,0,99,12369,11729,7782,15860,848968.2518468563
0,0,2,23755,7595,4,419,11248,3290,49,5,11138,0,6067,0,2006,5793,17425,6562,2968,354815.79963743244
0,0,2,19176,2534,3,264,6925,22186,16,5,5304,0,2430,0,89,15849,9898,5863,22151,647056.9096150744
0,0,2,22551,15183,4,464,12432,4794,49,5,8249,3626,1265,162,2602,20944,5543,4694,4374,978098.8521719212
0,0,2,22785,6185,3,206,6042,9071,0,5,1084,3265,3755,0,1209,25387,10378,3461,8105,328440.963817532
0,0,3,5894,15344,3,419,5167,15840,0,5,5240,0,3952,0,1716,6087,14251,2749,17024,249934.52742185877
0,0,2,13912,9514,5,419,11075,19203,0,5,6170,3577,4731,0,1891,3727,11694,8757,22436,351451.1551226946
0,0,2,2158,14397,3,75,1396,14965,0,4,1693,0,2430,0,2109,6669,12651,1485,12332,225000.0
0,0,3,2049,4507,4,309,7414,5580,16,5,7116,0,1306,0,3315,23347,6753,2802,5066,465000.0
0,0,3,26399,8421,4,419,16031,19081,0,7,5749,6815,4427,0,193,15854,10110,14386,21005,1369650.618926086
0,0,3,10241,16110,3,75,7822,15781,0,5,1693,4546,3562,0,1650,5567,13558,4478,11716,240000.0
0,0,2,161,12725,3,419,12162,19928,0,6,4497,6083,4364,0,1573,5134,11334,11029,20838,465334.0258387038
0,0,3,26861,7595,2,75,2604,5446,0,5,695,617,1194,0,3010,21970,2744,2177,5072,430000.0
0,0,2,8602,1211,4,419,10283,14568,49,6,10381,0,5287,0,2109,19134,14521,6774,15232,668485.8893392752
0,0,2,16795,6879,3,75,3815,13288,0,5,1422,1866,3041,0,4264,7932,7666,4469,15060,156391.1889477664
0,0,2,352,6567,3,309,6754,22171,49,6,6774,0,4946,0,1928,8265,20558,4647,22154,401739.7405542845
0,0,3,8965,5370,3,206,3927,18283,0,5,4037,0,3260,0,836,17126,13309,6078,7605,733502.2712409225
0,0,2,2253,8766,3,309,12292,24699,49,6,7932,3122,5231,0,857,23086,21463,11134,24474,629288.4141403189
0,0,2,20645,13557,4,75,8989,18159,0,5,1922,4995,3260,0,3652,25899,7396,3526,17971,279568.2653030609
0,0,2,1546,3641,3,360,9273,9969,49,6,8995,0,4773,0,715,20121,14758,7156,9730,600968.0009479314
0,0,3,19059,8608,3,75,1747,5446,0,5,1130,0,909,0,3089,21774,1171,4541,5072,550000.0
0,0,2,23638,7179,4,419,5863,3290,49,5,3845,1677,206,0,3652,14300,6401,3275,3875,407394.5111890691
0,2,2,12873,9351,5,619,14799,4359,49,8,10209,3020,1538,528,3089,20624,2621,6970,5072,1161289.3774995476
0,0,2,4442,133,3,569,14979,7025,16,6,11411,3383,2832,717,3588,12381,4006,6562,6756,570000.0
0,0,2,1833,3641,2,419,8409,14844,49,6,8122,0,4480,0,649,26872,7836,8691,16501,469114.52652927017
0,0,3,8753,15716,3,264,2454,21520,0,5,2907,0,3497,0,297,339,21345,2081,21349,182045.7259348994
0,1,3,6502,4263,3,206,5371,4425,0,6,2150,1722,2032,0,4230,12615,1642,6027,5078,524559.172302583
0,0,2,26482,13934,3,206,2916,93,49,6,3407,0,6646,0,3462,11650,7279,1436,211,531431.3686400461
0,0,2,20405,13438,3,464,14150,6313,49,8,9145,3593,5810,0,775,15455,16724,12312,11726,995640.1675590609
0,0,2,20039,2474,2,75,433,6034,0,4,490,0,1087,0,3588,18387,1079,636,6199,370000.0
0,0,2,20729,15677,3,75,2284,14008,0,5,2840,0,2854,0,1285,2840,5269,3619,18635,182205.15126354332
0,0,2,4436,10010,3,75,2778,9692,0,5,3180,0,3696,0,4078,7996,8250,2514,9671,215140.5279534408
0,0,2,735,14099,4,419,13775,10042,49,7,13456,0,6132,0,2109,18878,17867,14290,10739,736868.9944314767
0,0,3,26294,15479,3,309,5922,8720,0,6,6058,0,3880,0,337,1117,2511,5223,10431,235000.0
0,0,3,13246,5396,3,75,1028,8441,0,5,1237,0,2490,0,2388,9055,8993,2530,8956,229316.64147487056
0,0,2,726,638,3,360,6610,21712,0,6,6490,0,5066,0,1745,16160,19253,9752,22398,654798.576750119
0,0,2,4834,4583,3,75,5180,6933,0,5,1334,2160,3213,0,3462,11658,661,2759,7004,483024.6097682248
0,0,3,809,7447,5,264,10176,17836,0,5,4836,4233,2970,0,580,2069,5945,2936,13549,279104.77852721454
0,0,2,16033,14783,2,75,1816,17690,0,5,2378,0,2765,0,3712,7712,1566,2208,18547,259859.30620235423
0,0,3,24109,3745,4,309,7547,20762,0,5,7582,0,3197,0,836,1081,979,4181,18920,237895.8941605355
0,0,2,19304,10269,3,75,3219,10153,16,5,3589,0,2311,0,3164,21968,6823,6675,11636,438329.811914686
0,0,3,5666,15563,3,75,4549,15860,16,5,4453,0,2490,0,3652,26577,4038,3941,16923,438370.7322594099
0,0,2,10391,8957,3,75,4396,19680,0,5,1107,2237,2970,0,32,1223,9135,1685,20044,215000.0
0,0,2,12828,4866,3,75,3239,10341,0,5,3616,0,3041,0,3462,24239,4001,2871,9712,400000.0
0,0,2,22584,13838,2,264,2229,16723,0,4,1525,2,2970,0,3588,23554,4960,5528,12455,249934.00756129296
0,0,2,5423,12595,3,264,8817,22307,0,5,8680,0,5420,0,32,1779,10031,4715,22615,350000.0
0,0,3,12358,2188,3,309,2841,4550,16,4,2084,0,97,0,3238,16692,5884,3713,1753,540032.9019677901
0,0,2,23157,10124,3,419,5261,1439,49,6,5351,0,6655,0,3010,8786,7452,3894,1813,406275.6162541751
0,2,3,2992,9089,3,419,10447,22564,0,7,6222,2846,4252,0,297,13575,16831,13156,22259,757579.9914980123
0,0,2,6994,2807,3,360,3721,119,49,6,1757,1011,6501,0,3164,10856,2935,2124,349,283594.65653012757
0,0,3,11812,15271,4,75,6190,2130,16,5,4189,1935,764,0,3535,15422,4319,4116,2949,639769.633480229
0,0,4,7490,11270,4,419,12221,4239,49,5,6828,4233,297,0,3164,19923,6915,6078,2775,834431.775763996
0,0,2,15617,2695,3,360,1451,317,49,5,1055,0,6324,0,2517,12087,3404,2152,485,229269.11017344016
0,0,2,15667,2069,6,674,17331,20493,49,9,15862,0,5606,0,2265,15671,14852,13024,17287,1451774.7135893535
0,0,2,1598,14724,4,419,10356,19530,0,5,4289,4800,3161,0,747,23136,11286,5054,18317,533319.1422976224
0,0,2,24912,637,4,419,12609,20879,49,7,12441,0,5175,0,2006,15697,17498,11109,21530,723225.0734871153
0,0,2,10181,9949,4,419,13347,19312,0,6,10214,1930,3696,0,969,25022,10684,12838,19193,514065.0447263889
0,0,2,24920,8895,4,360,5616,17857,0,6,3529,375,3412,0,4129,5903,3287,5271,16411,352573.80036929797
0,0,2,14953,14485,3,419,10298,21821,0,5,7102,724,4364,0,1797,4632,14232,10623,19241,407177.1145792511
0,0,3,18467,9351,4,75,8449,1576,13,5,5268,1730,1087,0,3462,19608,4956,7328,1072,658141.8645514123
0,0,3,13073,9499,4,264,11284,19207,49,5,10837,0,3333,0,1573,6340,12892,4689,15360,353745.79743113223
0,0,2,5007,12132,3,419,7584,1117,86,6,5125,518,6254,0,2941,18890,3052,7196,1255,697901.4940615972
0,0,2,27003,16774,4,8,15460,141,200,0,15984,4800,6762,109,4281,26408,8046,10027,11299,78879.69558572164
0,0,3,21399,12584,4,419,6190,8409,49,5,6108,0,5231,0,1490,3669,11596,4591,9730,259453.05945239044
0,0,2,5247,6763,4,307,7288,3793,16,5,7049,0,374,0,2941,21054,4673,3330,1035,645713.1381450123
0,0,2,18775,10503,4,419,8006,5404,49,6,7487,0,5928,0,1285,2170,7340,7975,5072,289956.8661503165
0,0,3,11343,8975,3,206,6101,18099,0,5,6058,0,2576,0,193,17915,9207,6533,16871,711891.3600398684
0,0,3,24168,14141,3,264,6244,2863,16,5,6169,0,592,0,2517,18051,4607,5770,2949,714071.8465986052
0,0,2,8774,419,4,75,4359,5645,16,5,4396,0,2430,0,3588,10027,2588,2614,6842,270663.60610350035
0,0,2,24797,91,3,419,8512,9000,0,5,3894,2745,3497,0,3634,9075,6612,9370,6875,507639.2003318016
0,0,2,6946,6183,5,569,16980,21751,49,8,15619,0,5810,0,99,14028,10534,13057,21615,1731063.8800218329
0,0,4,26264,13949,3,264,5371,15521,0,5,5483,0,3041,0,146,14395,16786,5558,17528,564737.7774474722
0,0,2,26135,15225,3,264,7584,17935,0,6,7174,0,4826,0,836,13926,18010,8310,15812,668982.4440316755
0,0,2,7164,1497,4,419,10598,10369,0,5,5749,3618,3054,0,3010,22358,3052,6616,7432,568470.957099358
0,0,4,11209,11592,10,464,14410,18358,0,6,6774,5759,3696,0,193,15668,12394,12097,18788,850973.958053786
0,3,3,27226,0,10,1144,18010,24871,200,11,16171,6981,6648,0,1285,322,22026,15161,6,7700000.0
0,0,2,7062,13711,4,419,12845,21270,49,7,12548,0,5127,0,1285,3252,12985,11219,18486,395246.5054221894
0,0,2,15651,968,4,464,6587,2778,16,5,7370,0,465,0,3238,18193,1837,3894,2017,549588.8586504018
0,0,2,9853,8681,4,464,7369,20725,0,5,3589,2276,4427,0,1806,17785,16035,6196,16933,525000.0
0,0,3,25017,12180,3,75,5989,5446,49,4,3628,960,1994,0,2602,23034,5812,2838,5072,525000.0
0,2,3,13833,6379,3,264,14300,11587,0,5,4949,6453,2490,0,3535,9429,4987,10334,10717,646874.3661658529
0,2,3,21318,2125,3,419,13131,11963,0,5,6782,5253,3142,0,3548,11349,585,8231,15679,699912.940035957
0,0,3,20142,2502,3,360,6052,10518,0,5,2623,2142,4480,0,1285,22036,14389,5213,11096,536460.863401226
0,0,2,24316,9884,4,75,4642,9418,16,4,3298,102,2539,0,4027,8538,4059,1786,9367,251305.02337458095
0,0,2,25534,2188,3,264,5426,3290,16,5,5304,0,1142,0,2764,18662,4550,5740,4545,625000.0
0,2,4,14842,5432,3,264,13150,11643,0,6,6190,4466,2490,0,3588,22407,8586,10399,15851,951643.8912049072
0,0,2,5360,2733,4,419,15545,15442,49,8,14855,0,5287,0,57,11988,15878,14626,18683,944841.932086275
0,0,2,13118,8386,3,206,2959,621,49,6,1693,1052,5928,0,3164,13130,366,3645,449,304109.0318021975
0,0,3,2100,6048,4,419,4774,21918,0,5,4781,0,3755,0,2069,25058,16751,5054,21342,479990.7691636765
0,0,2,20007,2368,4,419,15075,23428,49,8,14127,0,4480,0,2517,25442,18411,13392,22354,737018.2271343224
0,0,2,14418,0,7,1144,18010,24840,152,11,16171,6981,6625,0,969,12164,17911,15161,22913,7699717.997241502
0,0,2,26285,9369,3,75,2630,6068,0,5,3225,0,2413,0,3238,24146,6780,2828,10728,286738.3331733631
0,0,4,6692,13485,3,206,2896,5777,0,5,3298,0,3041,0,3652,7739,6716,1081,8596,300000.0
0,0,4,26415,10689,3,464,8989,6969,0,5,2570,5104,2875,0,2602,13639,1295,4373,7541,556371.8474144064
0,0,2,20666,4949,4,419,13416,19581,49,8,13307,0,6199,0,4009,8133,4164,6829,20579,591678.7291671109
0,0,2,6151,7871,3,464,15228,23307,49,7,9839,4854,4842,0,1573,23767,18048,9773,23700,671678.4613144258
0,0,3,3155,91,4,206,6809,11826,16,5,6708,0,1306,0,3891,25673,2417,5515,12225,442037.2463776817
0,0,2,721,3812,4,75,4912,11092,49,4,4895,0,2203,0,4227,6366,8286,751,10425,166517.36591913123
0,0,3,1791,3078,3,419,8237,21935,0,7,7749,0,4480,0,1716,14839,20401,11046,21567,555868.0349155859
0,0,2,17807,14409,3,206,3837,5446,0,5,1181,2145,2313,16,2430,6842,3712,2643,5383,330795.35279761587
0,0,2,3004,6241,4,264,5426,19225,0,5,5387,0,1193,0,491,3678,2354,4485,19999,234873.0548130824
0,0,2,17106,8021,5,360,11164,14354,49,6,11230,0,4427,0,1367,18175,15479,11127,18072,636624.0109743843
0,0,3,5184,12154,3,75,4718,21658,0,5,4836,0,3696,0,1650,5114,15905,4673,16316,240000.0
0,0,2,6909,1198,3,360,3931,13817,49,5,4105,0,5119,0,908,3808,13335,5756,15603,226139.72277453283
0,0,3,11936,15512,4,360,11755,20302,49,6,11749,0,3751,0,32,19868,12632,12895,19735,699953.7514537607
0,0,2,8836,91,3,264,6474,12344,49,6,6534,0,374,425,3891,9340,3669,4980,16995,599939.8036480153
0,0,3,23634,12026,4,264,10934,22356,49,6,10786,0,4744,0,2430,17014,18984,9220,13390,688341.2191745401
0,0,2,18523,2930,3,419,11039,21204,49,7,11074,0,5119,0,0,1477,7153,11062,19474,378635.6100626209
0,0,3,3639,9884,3,264,3931,20793,0,5,4105,0,4119,0,1650,6000,13166,6260,17184,325000.0
0,0,2,13657,7096,3,309,6693,14020,49,6,6278,0,4715,0,0,307,8097,6789,16034,268584.51735099824
0,3,2,6935,9030,4,419,14321,18427,0,6,7011,6048,2313,0,2879,15055,955,11710,11598,1742654.3822526014
0,0,3,27072,9378,3,75,8714,3290,0,5,3361,3856,1306,0,3462,14860,9949,4541,4737,586675.920611424
0,0,3,20706,6464,3,75,6694,4950,49,6,6708,0,1194,0,2706,21181,5393,7663,3627,643634.5782668254
0,0,2,13850,13017,3,360,9278,18722,0,6,9657,0,3412,0,3774,26016,5364,6382,18271,601372.1737684103
0,0,2,19078,4349,3,302,9460,20282,0,6,9349,0,4427,0,1716,23869,13873,9046,19391,537981.8893055926
0,0,2,23506,1660,3,419,13210,13233,49,7,12830,0,5810,0,2006,18410,17230,11890,9092,700000.0
0,0,2,16608,10010,3,206,5727,1314,49,6,3461,1036,5800,0,3089,15918,962,5054,809,448785.1495329761
0,0,2,131,3692,3,506,13511,18246,0,6,5019,6273,3829,0,649,3793,1118,7414,20370,488699.9825777969
0,0,2,16172,640,3,264,3241,14425,0,5,3529,0,4124,0,745,22100,9277,6209,15592,389320.1396776475
0,0,3,17495,16066,4,360,9327,19177,49,6,9022,0,4772,0,2006,26246,16587,7802,19884,586634.9296749167
0,3,3,27041,1444,10,1144,18010,24871,136,11,16171,6981,6144,0,969,11530,20232,15161,16633,7700000.0
0,0,2,23719,16472,3,419,5122,10386,49,5,5125,0,4946,0,2265,2226,13204,4062,12169,261058.81135175403
0,0,1,23843,9663,3,75,4795,12155,16,5,5125,0,426,0,2764,14509,7484,2267,11470,211675.11282367812
0,0,4,23401,2587,3,264,5174,3488,49,5,5078,0,1142,0,2941,19712,5575,3363,2949,725638.2807636752
0,0,3,18235,6464,3,264,4911,5102,0,5,1590,2050,5009,0,1861,5068,15726,4299,4400,254568.62413309907
0,0,2,6538,7355,4,309,6649,16855,0,5,6774,0,3041,0,4078,9924,7212,3275,17477,215188.3346039893
0,0,3,4446,5056,3,75,5068,8178,16,5,5068,0,2415,0,4230,7669,6347,3526,8460,312901.71211572964
0,0,3,4316,10947,3,75,5802,11645,0,5,5817,0,2304,0,3588,26973,2456,4860,10703,405000.0
0,3,4,3357,1856,4,419,14123,16701,0,7,8122,4488,3260,0,3010,13334,48,7071,15977,1124339.0876987523
0,0,2,21999,15168,3,309,3994,563,49,6,2354,515,6000,0,3712,12896,2077,3490,289,382399.7180459122
0,0,2,13148,10271,3,419,12061,4696,49,6,12009,0,6199,0,2006,5326,15588,12136,5376,430721.60682063154
0,0,2,16437,8885,4,419,10941,4277,49,5,10894,0,6597,0,1716,1458,15664,9833,4565,357059.4288191479
0,0,2,18677,15399,3,419,14355,13165,49,6,13867,0,6254,0,1782,26826,10741,10503,12202,595668.1725454156
0,0,2,10873,8800,4,419,9715,9689,49,6,9731,0,5580,0,715,12780,20381,10550,10875,660258.585422239
0,0,2,6375,5398,3,75,1320,22739,0,5,1547,0,5175,0,733,2566,13173,4062,5992,199927.31403221565
0,0,2,7844,9351,4,419,12057,3977,49,5,12002,0,6067,0,1686,3700,18664,10560,4016,400000.0
0,0,2,19131,4168,3,464,4420,841,49,5,4778,0,6254,0,2558,17848,4518,3942,1842,297078.19785238616
0,0,3,9049,2208,3,309,4073,12228,0,5,1921,207,4427,0,1716,6251,12571,3667,16309,274767.1124662852
0,0,2,17720,5656,3,75,1556,12733,0,5,1921,0,4842,0,858,14741,21808,3455,16199,257593.0682986848
0,0,2,9243,10271,3,75,1451,7958,0,4,1371,0,1358,0,3712,10381,3232,1977,6805,344995.06389283686
0,0,2,16530,95,3,309,4315,5080,49,5,4345,0,6067,0,3878,8519,2388,2267,3919,244410.6345105749
0,0,3,5675,1776,2,75,104,11887,0,5,152,0,2247,0,3712,9190,2152,2092,12708,335000.0
0,0,2,924,0,3,0,0,11,0,0,0,0,0,0,0,27414,22052,4062,616,405024.560029481
0,0,2,2824,13543,3,619,10270,3476,86,5,10239,0,4252,0,2741,17251,6014,8231,2138,697344.6261774712
0,0,3,11845,10411,3,419,12039,11364,0,6,3894,5761,2430,0,4281,17694,1118,6320,8447,1038393.6033398182
0,0,2,1962,1423,4,464,14534,8507,49,7,13802,0,6424,0,2006,10078,19372,13422,9047,579415.1156498175
0,0,2,27059,9884,5,619,17878,12711,49,8,15884,6506,6324,0,193,20279,12322,14777,14791,1222044.8067466533
0,0,2,7889,10708,4,419,12187,20034,49,6,11901,0,6000,0,1285,3722,11543,9226,10406,494965.65809731354
0,3,2,14994,3213,4,619,13406,17867,49,6,7582,4290,5175,0,1285,24319,11882,10354,17241,526507.8230639125
0,0,2,6995,9091,4,419,14109,19849,49,8,13549,0,5810,0,2006,9543,21415,14843,21075,726296.8200005556
0,0,2,8214,9542,3,360,5744,10139,0,5,3302,1353,4946,0,1716,6064,13318,4343,10300,297258.88949446136
0,0,3,21386,15284,3,419,11213,4005,0,5,3205,6096,2043,0,3164,15658,1171,6196,3880,690306.6988981658
0,0,2,15474,5985,4,264,5151,2028,49,6,5068,0,6646,0,3010,23557,5876,2208,1141,342245.37755438976
0,0,2,5995,8328,3,309,3485,20504,0,5,3706,0,5287,0,1209,3269,18195,3499,10418,297654.98612209776
0,0,3,2162,7456,3,75,8111,19300,0,5,3407,2606,3412,0,3588,25912,8373,2924,19926,431776.00542541774
0,2,2,14010,617,4,206,11971,12383,0,6,4781,5334,2710,0,3774,9471,1824,8037,9730,748871.1446845299
0,0,2,17200,10200,4,309,13244,20280,49,8,13036,0,4528,0,2069,11099,18967,12010,20257,650000.0
0,0,2,19466,3188,2,75,412,6536,0,5,481,0,2655,0,4281,19501,417,3330,7432,393312.7207338766
0,0,2,8407,9030,3,419,9521,24202,49,6,5164,3133,4946,0,1285,8639,18527,12516,24077,374511.1373878042
0,0,2,12427,11267,3,206,1976,6302,0,6,2442,0,4124,0,4175,6211,6841,3734,7399,255000.0
0,3,3,27242,5291,10,1144,18010,24871,200,11,16171,6981,6762,0,2517,3990,22052,15161,252,7700000.0
0,0,3,4579,13758,3,419,9050,16725,0,6,8958,0,4185,0,193,19200,11384,7855,19817,729920.4241853768
0,3,2,19707,10730,3,419,8714,2479,49,6,9019,0,1194,0,3089,19880,2077,8935,2949,930537.6065128932
0,0,2,21133,3542,4,419,12789,9596,49,7,12772,0,5594,0,2103,14011,13141,13362,9038,631675.0563505461
0,0,3,4041,15069,3,377,12131,17225,49,6,11984,0,4427,0,1716,5687,16326,10912,14244,441695.8104302752
0,0,3,1157,14242,4,75,2267,4458,16,5,2790,0,1603,0,3909,11399,4659,2823,4007,358880.0735416593
0,0,2,11636,5937,2,75,2937,19030,49,5,3298,0,1994,0,4085,6799,6672,3564,20433,198726.8491265725
0,0,2,14351,6678,3,75,2500,7612,0,5,2874,0,3095,0,297,15636,11565,5213,8876,495643.38790543337
0,0,0,27242,0,0,0,0,0,200,0,0,6981,0,893,0,27414,22052,15161,103,78000.0
0,0,2,7336,6451,3,419,9629,3253,49,6,9362,0,6067,0,1716,3752,11841,5617,5072,324214.33858276944
0,0,2,4594,13246,4,419,11595,20401,0,6,6222,4233,4715,0,580,5142,11099,8113,21268,325757.10941700934
0,0,4,8325,4735,3,206,4718,22426,0,5,4881,0,3077,0,193,275,20219,1823,21379,276704.7477014068
0,0,2,24845,10678,3,75,1003,16838,0,4,1237,0,2430,0,836,26958,9225,476,16109,247150.1710479061
0,0,2,14873,6056,2,75,586,12925,0,5,669,0,1502,0,3089,13109,848,1639,10430,325000.0
0,0,1,9405,2255,3,419,8727,17754,0,5,3461,4212,4364,0,1797,7147,10023,8743,17115,325000.0
0,0,3,22668,2815,3,419,5693,12559,49,5,5351,0,2430,0,3849,10142,6780,4820,9706,375000.0
0,0,2,26441,5330,3,75,5082,652,49,7,3407,1595,6199,0,3712,15115,4324,2477,717,405466.4248134835
0,4,2,27138,10952,4,206,11380,18240,0,6,4179,5414,2970,0,4246,4132,5341,6022,16947,545400.3073522791
0,0,2,18022,8104,4,360,5033,8713,49,5,5068,0,4070,0,836,6977,9726,5829,9492,310000.0
0,0,2,25263,1838,3,419,8970,22977,49,6,8591,0,4786,0,297,5172,18132,9209,23393,501626.74290808296
0,0,2,14497,917,3,264,4605,13627,0,6,4645,0,4402,0,1573,24870,11203,4343,16526,418980.36851605703
0,0,2,5967,8328,3,419,10983,5323,0,5,4781,4677,2043,0,2517,18078,4980,7024,4612,797165.6103301226
0,0,4,7493,3291,3,75,1452,1623,0,5,1693,0,832,0,3175,22843,3385,3353,2949,435000.0
0,0,3,26573,5087,2,264,4963,4248,16,5,5005,0,2043,0,2517,19425,6014,2936,2513,570000.0
0,0,2,8023,11242,3,75,1403,20614,0,5,1797,0,2560,0,4129,5257,5341,5558,14815,190472.201867659
0,0,2,8014,13737,3,419,7278,3184,49,5,7000,0,5810,0,1285,15042,19908,4715,2573,511050.4874566652
0,0,3,4540,1583,3,360,4545,9461,0,5,5125,0,4252,0,715,1960,2131,4116,15046,198683.31502342335
0,0,2,19472,9717,3,419,3305,3549,49,5,3650,0,5928,0,2006,11707,21700,4647,2295,288829.8414223873
