Geography,Gender,HasCrCard,IsActiveMember,CreditScore,Age,Tenure,Balance,NumOfProducts,EstimatedSalary,borrar,Exited
2,0,1,0,12611,3279,2,0,3,10150,10258,1
1,1,1,1,16685,922,1,2542,0,8689,8690,0
0,1,0,0,10083,183,10,0,1,15401,15233,0
0,1,0,1,8074,1861,4,0,0,14516,14600,0
0,1,1,0,5829,3169,4,0,1,13666,13767,0
2,0,1,1,10715,3169,3,0,1,12307,12448,0
2,0,0,0,17061,4424,1,15670,0,18607,18534,1
1,1,1,0,17439,677,7,16301,1,14909,14910,0
0,1,1,0,4430,1527,8,0,1,11178,11185,0
0,0,1,1,19482,2040,3,15233,1,4976,4967,0
1,1,1,1,18503,2544,3,1611,1,17573,17763,0
0,0,1,1,20261,5989,8,0,1,11618,11721,0
2,1,1,1,12978,5865,4,0,0,10358,10460,0
2,1,1,1,5812,1527,8,13021,0,13302,13327,0
1,0,1,1,14877,240,3,13848,0,3598,3601,0
1,0,1,0,20212,5154,2,9214,0,12437,12557,1
0,0,1,0,9264,3169,8,4786,1,12057,12093,0
0,1,1,1,20654,1038,8,8273,0,1208,1165,0
0,1,1,1,23998,1298,0,7538,0,17389,17245,0
0,1,0,1,13577,1725,2,1773,0,17780,17794,0
0,0,1,1,3824,5680,8,0,1,14075,14022,0
0,1,1,0,6992,1781,7,10045,2,15396,15319,1
2,1,0,0,6673,2918,4,0,1,19877,19748,0
1,1,1,0,8579,2156,9,11852,0,21629,21617,0
0,1,0,0,1291,1161,5,8523,0,3357,3318,0
0,0,1,0,20919,1916,7,0,1,2461,2488,0
0,1,1,1,19091,1456,1,0,1,222,216,0
2,0,1,1,2627,2668,1,0,0,19921,19955,0
0,0,1,1,17714,2406,3,11611,0,11377,11341,0
0,0,1,1,10181,1916,4,0,1,16545,16466,0
0,0,1,0,9775,2040,9,0,1,25232,25230,0
0,0,1,0,15621,2276,8,11351,0,25374,25368,0
0,1,1,1,13136,91,5,0,0,9403,9361,0
1,0,1,1,5701,816,8,953,0,9525,9487,0
2,1,0,1,8260,1750,6,12500,0,19194,19242,0
0,1,0,0,17289,2040,5,11710,0,16186,16164,0
1,0,1,0,7003,1652,7,4563,0,14363,14428,0
2,0,1,0,23234,2544,2,10684,1,1920,1937,0
0,0,1,1,10770,2040,4,3441,0,15447,15405,0
0,1,1,1,20270,2636,8,0,0,5630,5517,0
2,1,1,1,574,1569,7,0,1,7660,7650,0
0,0,1,0,15205,1916,10,251,0,13611,13544,0
1,1,1,0,6611,3169,1,13928,1,2990,3052,0
2,0,1,0,5363,2544,3,2450,1,7131,7140,0
0,1,1,0,7579,2276,2,0,1,18790,18798,0
0,0,0,0,18011,2276,6,15391,0,2655,2671,0
2,0,1,1,12382,1652,3,0,1,20309,20371,0
0,1,0,1,14343,1418,8,9103,1,7285,7277,0
0,1,1,1,20157,1916,4,15525,0,11255,11243,0
2,1,0,1,23204,5387,0,0,1,4262,4275,0
0,0,0,0,11946,4424,3,605,0,3029,2863,1
0,0,0,0,2923,3033,8,0,0,25104,25114,1
0,0,1,1,8277,5357,5,0,1,11385,10998,0
0,0,1,1,7755,1418,3,0,1,5946,5944,0
0,1,1,1,4860,2918,10,852,0,15900,15862,0
0,0,1,1,270,922,1,0,1,3099,3097,0
1,0,1,1,1196,1418,7,6412,3,1462,1319,1
0,1,0,1,13507,2918,8,0,1,5668,5703,0
1,1,1,0,18686,2803,9,2761,1,6002,6074,0
0,0,1,0,12836,292,8,8616,0,6962,7025,0
0,1,1,1,16044,298,7,5370,1,5340,5354,0
0,1,1,1,5827,781,8,15798,0,8137,8079,0
1,1,1,1,4838,2096,1,9169,0,1490,1499,0
0,0,1,1,18578,2276,2,7641,1,15516,15580,0
0,1,1,1,24107,2276,0,4907,1,20282,20257,0
2,0,1,1,17770,1527,5,0,1,8143,8323,0
0,1,1,0,6196,1161,9,0,1,25543,25555,0
0,0,1,1,5586,1781,2,0,1,16196,16160,0
1,0,1,1,8942,5873,8,8593,0,25248,25264,1
0,1,0,1,8065,1298,9,0,1,16202,16198,0
1,1,1,1,9754,518,8,13355,1,10360,10412,0
1,0,1,0,15324,4130,4,14265,0,16748,16835,1
0,0,1,1,11305,1295,4,0,1,304,302,0
1,1,1,0,8307,1916,0,10623,0,1825,1891,0
0,0,1,1,17700,1781,4,2536,0,10073,10064,0
1,1,0,0,24802,2156,1,8958,1,12560,12611,0
1,1,1,0,10349,1296,3,14541,1,3449,3462,0
2,1,0,0,4040,298,8,0,1,11936,11873,0
1,0,1,1,25284,1298,2,5692,1,726,736,0
2,1,0,0,2235,2156,5,0,1,21593,21554,0
2,1,1,0,8016,119,7,0,1,10054,10161,0
0,1,1,0,4005,2406,5,0,1,19146,19166,1
2,1,1,0,19108,2040,2,3764,0,585,576,0
0,0,0,1,11772,4196,9,0,1,9695,9799,0
0,1,1,0,16401,657,6,15630,0,14802,14764,0
2,0,1,1,9495,1418,6,0,1,11657,11748,0
2,1,1,1,8501,2156,7,6766,0,19725,19597,0
2,0,1,1,15533,1527,5,0,1,8144,8162,0
2,1,0,0,23274,2040,7,0,1,7589,7404,0
2,0,1,0,4977,1916,0,0,1,12854,13107,0
2,0,1,0,16234,1418,2,0,0,14358,14306,0
1,1,1,1,16788,2668,7,10816,0,5962,5918,0
0,0,0,1,14722,5219,9,0,0,10388,10360,0
0,1,1,0,4224,3255,3,12176,0,6832,6863,1
0,0,1,1,2408,1298,10,1429,1,21618,21439,0
2,0,1,1,10598,2276,8,0,1,8347,8380,0
0,0,0,0,15703,2544,1,16002,1,16525,16484,1
0,1,0,1,16990,3394,9,15342,0,19768,19764,0
0,1,1,0,24966,1652,2,0,1,6518,6366,0
2,1,0,1,22205,3663,4,839,1,10895,10849,1
1,1,1,0,5296,3541,2,7052,0,20302,20298,1
0,0,1,0,18751,1298,5,0,1,17713,17697,0
0,1,1,1,11220,2544,2,2709,0,712,698,0
1,1,1,1,25284,1298,2,5239,1,5327,5321,0
1,1,1,0,24792,3682,9,2928,0,15166,15300,1
0,1,1,0,8953,1527,7,0,1,21788,21780,0
1,0,1,0,6740,3033,3,8008,3,8179,8155,1
0,1,1,0,19327,1418,3,385,0,1007,1018,0
0,1,1,0,19963,2276,10,0,1,7591,7532,0
2,1,0,0,18269,1652,9,13157,1,18364,18370,0
0,0,0,1,14722,2406,10,0,1,14125,14245,0
0,1,1,0,24375,3033,3,12659,1,15442,15411,0
1,1,1,1,7947,2406,0,6254,0,1909,1846,0
0,1,1,1,25027,1652,4,6421,0,21736,21682,0
0,0,1,0,21510,2918,1,16178,0,3489,3504,0
2,0,1,1,22329,2227,4,1904,0,5892,5901,0
1,0,0,0,18325,4424,3,5069,0,22654,22762,1
0,1,1,0,22736,4051,5,0,0,15847,15740,1
0,1,1,0,560,3390,8,12678,0,20065,20168,1
2,1,1,1,24994,3831,3,3109,0,6556,6514,0
0,1,1,1,18999,2918,9,10123,0,22367,22350,0
1,1,1,0,24323,2276,9,16055,0,11186,11353,1
0,1,1,0,15767,1527,3,7810,1,11109,11101,0
0,0,1,1,19965,1712,6,8122,1,15175,15198,0
1,1,1,1,2907,657,10,7660,0,11970,11971,0
2,0,1,1,16670,2495,0,13146,0,14383,14608,0
0,1,1,0,15767,1183,7,11301,0,9551,9564,0
1,0,0,0,12788,2156,8,374,0,2429,2426,1
0,1,0,0,13290,1418,3,0,1,4637,4668,0
0,1,1,1,20323,2544,1,0,0,10281,10179,0
0,0,1,1,18592,2918,2,13987,0,8115,8109,0
2,0,1,0,9878,2040,3,1937,0,6510,6526,0
0,0,1,1,12192,2156,1,0,1,15779,15751,0
0,0,1,1,21111,2276,8,1014,1,8409,8480,0
0,1,1,1,24584,2918,1,189,0,15219,15105,0
1,0,0,0,13727,1418,3,15696,1,12247,12243,0
1,0,1,1,6784,2406,3,5335,1,8128,8144,0
2,0,1,1,24193,1916,4,10663,0,18327,18281,0
0,1,1,1,25153,2803,5,0,1,2399,2389,0
0,1,0,0,25284,1916,4,13219,0,2387,2437,0
0,1,1,0,7284,1038,10,0,1,2854,2925,0
1,1,1,0,20663,2803,4,8944,0,10125,10124,1
0,0,1,1,1531,1916,3,0,1,25674,25682,0
0,1,1,1,21442,298,0,1111,0,942,1005,0
0,0,1,0,16352,3169,3,0,1,8749,8724,0
2,1,1,1,19911,2750,6,0,1,830,821,0
2,0,1,0,21587,1418,7,0,1,23251,23150,0
1,0,1,1,539,1527,7,6626,0,22052,22028,0
0,1,1,0,295,1527,3,0,1,25197,25206,0
1,0,1,1,23740,1298,8,9645,1,16823,16906,0
2,1,1,1,20428,4588,9,1117,0,7824,7783,0
0,0,1,0,19987,787,1,0,1,13870,13898,0
1,1,0,1,15297,1652,4,12456,0,15318,15424,0
0,1,1,0,10840,2276,8,4033,1,4615,4576,0
0,1,1,1,1841,3394,8,4904,1,9440,9585,0
2,1,1,1,17942,1527,4,0,1,2704,2712,0
0,1,1,0,1402,2040,4,0,1,24122,24110,1
1,1,1,0,6965,781,2,10942,0,4027,4012,1
1,0,1,0,15664,1916,9,6048,0,21552,21422,1
1,1,1,0,10175,4124,8,10056,0,25200,25186,1
0,0,1,1,21676,1939,1,13256,0,4583,4570,0
0,0,1,1,19583,3937,5,0,1,4504,4493,0
1,1,1,1,16664,2513,10,9893,1,23857,23821,0
0,0,0,1,8359,518,2,0,0,1189,1189,0
1,1,1,1,12350,1806,2,14006,1,3733,3718,0
1,0,1,0,15836,2156,7,8515,1,131,139,0
0,1,0,1,6777,1529,7,0,0,12982,12999,0
1,1,1,1,21638,1652,0,9251,1,5208,5156,0
2,0,1,0,12863,1652,5,279,0,17497,17345,0
2,0,1,1,20831,5409,6,11319,0,4292,4251,0
0,1,1,0,2912,2276,7,0,1,8426,8426,0
1,1,1,1,6007,1781,9,12831,1,4768,4705,0
0,1,1,1,8843,5955,6,0,1,21806,21725,0
0,1,1,0,20737,2058,7,0,1,25207,25210,0
1,0,1,1,22018,2544,8,6042,0,5259,5198,1
1,1,1,1,10859,3541,4,13276,0,17944,17935,0
0,0,1,1,11925,2918,5,0,0,20053,20071,0
2,0,1,1,12740,3791,4,0,1,18736,18681,0
2,0,1,1,3499,4051,9,5671,1,18885,18851,0
1,1,1,1,20405,2406,2,4633,1,20277,20164,0
0,1,1,1,8848,1161,6,4224,0,4201,4085,0
1,0,0,0,5870,4051,3,2354,0,13253,13251,1
1,1,1,1,18620,1781,5,5037,1,5840,5855,0
2,1,1,0,3641,1527,4,13119,0,14746,14748,0
0,1,1,1,8520,1551,9,0,1,4886,4801,0
0,0,1,0,2584,3663,9,7495,2,13125,13305,1
0,1,1,0,16447,2803,10,0,1,3472,3401,0
1,1,0,0,25130,4054,1,16254,0,20801,20785,1
2,1,0,1,13348,3169,5,0,1,6818,6980,0
1,0,1,1,23471,518,3,5754,1,1578,1532,0
2,0,1,0,7176,2040,9,9479,0,8406,8419,0
1,1,1,0,8189,2918,2,11790,0,4688,4732,1
2,0,1,0,24216,2634,5,0,0,3349,3452,1
1,0,1,0,15343,1527,7,10523,1,21854,21847,0
0,0,1,1,1536,2918,8,5636,1,15921,15912,0
0,0,0,1,8731,922,9,0,1,17525,17549,0
2,1,1,1,25284,1161,7,2853,0,23843,23881,0
0,1,1,0,21773,2668,7,0,1,9183,9163,0
0,1,0,1,8253,5012,7,14690,0,451,460,0
0,0,1,0,12665,1418,5,0,0,22091,22072,1
0,1,0,1,5800,2238,1,3633,1,16892,16827,0
1,1,1,0,21028,2406,8,8716,1,23516,23543,0
0,0,1,1,15617,4875,6,0,1,4785,4762,0
0,1,1,0,15924,1418,2,12586,0,22354,22301,0
0,1,0,1,12584,1161,1,0,2,4777,4838,0
0,0,1,0,16949,1627,1,0,0,16367,16363,0
0,1,1,1,23939,1527,9,8459,0,2156,2142,0
2,1,1,0,15879,3989,1,0,0,2395,2449,1
1,1,1,0,1846,2406,8,6546,1,24769,24795,0
0,1,1,1,4841,2668,2,4012,0,23866,23765,0
1,1,1,1,2719,2677,1,4560,0,10942,11064,1
2,1,0,1,1279,1100,7,9350,0,24175,24182,0
0,1,0,0,24541,1652,1,0,0,19600,19510,0
1,1,1,0,6811,3279,2,15237,1,3527,3663,0
2,0,0,0,15767,3169,9,0,0,20490,20970,1
1,1,1,1,9510,2286,4,15511,1,17703,17773,0
0,1,0,1,13555,1038,6,0,1,11451,11437,0
2,0,1,1,754,3918,3,9442,0,3277,3188,0
1,0,1,0,17991,2156,7,14697,0,11637,11603,0
0,0,0,0,16799,100,10,8748,0,20265,20294,0
0,1,0,1,12892,2803,2,10065,0,15690,15734,0
0,0,1,0,13574,3436,10,0,0,22633,22724,0
0,0,1,1,6195,5866,2,0,1,22048,22034,0
0,0,0,1,4336,2627,3,15600,0,25969,25970,0
0,1,1,1,24186,1418,8,0,1,21667,21502,0
0,0,1,1,622,2668,1,747,0,3999,3946,0
1,1,0,1,13370,2544,4,11215,1,9158,9105,0
1,1,1,1,4254,3169,3,4440,0,4643,4618,1
1,1,0,1,23312,2406,2,8254,1,9481,9404,0
2,0,1,1,13139,1781,10,8105,0,4824,4831,0
2,1,1,0,24258,183,2,0,0,10457,10736,0
1,0,1,0,18298,2803,7,5051,0,12090,11844,1
1,1,1,1,7545,3279,2,6298,0,7326,7320,1
0,1,1,1,24296,2134,0,7044,0,10175,10324,0
1,1,0,0,17223,4051,7,11222,0,22236,22169,1
1,0,1,1,16510,2040,1,1843,0,8352,8394,0
0,1,0,0,9508,2803,2,6272,0,17496,17473,0
0,0,1,1,13502,159,7,1743,0,22256,22259,0
0,1,0,1,4682,1527,2,0,1,549,561,0
0,1,1,1,5229,781,3,0,1,11772,11733,0
0,1,1,1,7675,2803,6,1171,1,20506,20554,0
1,0,0,0,5672,1038,3,14769,1,11886,11968,0
2,1,1,0,12454,1916,10,0,1,17739,17726,0
0,1,1,1,17533,781,7,8739,1,12858,12920,0
0,1,1,1,8523,2156,9,7,0,10804,10872,0
1,1,1,1,14023,1916,0,13419,1,13961,13927,0
1,0,1,0,1785,1652,9,12525,0,16117,16120,0
0,0,1,0,4448,1652,8,13313,0,1396,1392,0
0,1,1,1,21840,922,0,6778,0,22496,22313,0
1,0,1,1,23270,1527,1,4516,0,7502,7625,0
1,1,1,0,22160,5247,2,3971,0,6772,6832,1
2,0,1,1,16681,1298,3,16390,0,20331,20351,1
0,1,1,1,13135,1527,2,1435,0,16282,16257,0
0,0,0,1,25271,5558,1,0,1,5661,5811,0
0,0,1,1,15103,3074,5,3306,1,1797,1818,1
0,1,1,1,981,922,9,3929,0,8618,8574,0
0,1,0,0,3186,3942,2,0,0,12259,12868,1
1,1,1,0,12845,2276,3,10215,2,6995,6992,1
2,0,1,0,19400,1298,7,11182,1,18004,17938,0
1,1,0,0,4861,4380,1,4136,0,6313,6327,1
0,0,1,1,5728,3541,6,14760,0,558,559,0
0,0,1,0,15509,1527,5,0,0,14478,14469,0
1,0,1,1,10753,1652,1,13010,1,19598,19482,0
0,1,1,0,3323,3394,1,310,0,9155,9134,0
2,1,0,1,1338,4024,6,0,1,23731,23711,0
1,0,1,1,5835,2918,4,11400,0,16359,16306,1
1,0,1,0,18834,1527,5,3340,0,17176,17193,1
0,0,1,0,20190,2040,8,0,0,17546,17561,1
0,1,1,1,5887,1916,9,11063,0,17563,17643,0
0,0,0,0,24690,1781,1,15948,0,23095,23092,0
2,1,1,1,13186,2406,5,0,1,8716,8749,0
0,0,1,1,173,1781,9,0,0,15532,15495,0
0,0,1,1,4453,3033,1,0,1,25914,25911,0
1,1,1,0,9533,1490,5,5995,1,12184,12389,1
2,1,1,0,1028,1527,2,0,1,8712,8727,0
0,0,0,0,23235,2406,6,11529,0,13596,13618,0
2,1,0,0,9536,3279,5,2152,0,1869,1916,1
0,1,0,0,12644,3494,9,10058,2,10567,10496,1
2,1,1,1,14750,5756,9,6674,0,9474,9426,0
0,0,1,1,23450,115,5,10606,0,23176,23124,0
0,1,1,1,25284,2544,8,1336,0,13297,13188,0
0,1,1,1,12450,1134,7,15778,0,17147,17090,0
0,0,1,1,12078,1038,1,0,1,24971,24943,0
0,0,1,0,10665,3169,3,0,0,8517,8564,0
0,1,1,0,23456,2040,9,16270,0,9950,10081,0
1,0,1,1,18480,5031,8,12743,0,17101,17122,0
0,0,0,1,7423,5463,6,8873,1,12552,12680,0
2,1,1,0,15767,781,3,0,1,13191,13209,0
0,0,1,0,12953,2156,8,0,0,731,779,0
0,1,0,1,25284,1488,6,8787,0,6186,6115,0
2,1,1,0,24093,1916,4,0,1,13289,13312,0
0,1,1,0,11329,2544,9,0,1,8348,8548,0
1,0,1,1,24571,2544,8,11715,1,15294,15278,0
0,1,1,0,1243,1781,7,7406,0,12441,12510,0
1,1,0,1,6003,3093,2,9194,0,15924,15980,0
2,1,0,0,11500,1161,10,5075,1,7644,7633,0
1,0,1,0,5610,1298,4,5890,0,23036,23163,1
2,1,1,1,8383,5467,2,0,1,20647,20655,0
0,0,0,0,2121,183,4,11991,0,6698,6578,0
2,1,1,1,24520,781,9,8425,0,21459,21449,0
1,0,1,0,17588,2668,3,12652,0,21610,21579,1
0,1,1,1,1410,1781,4,0,1,15719,15725,0
0,1,1,1,23644,2156,3,4988,1,23832,23763,0
0,0,0,1,6103,2609,8,0,1,1478,1416,0
0,0,0,0,5235,4363,5,0,0,2650,2661,1
2,0,1,1,15767,2803,4,0,1,20617,20560,0
0,1,1,1,16265,3926,9,13918,0,8282,8349,0
0,0,1,1,1564,1527,0,0,1,15985,15960,0
0,1,0,0,4132,2714,8,0,1,8786,8783,0
2,1,1,0,24527,1916,4,0,1,6488,6482,0
2,1,1,0,16523,29,7,0,1,6768,7079,0
0,1,0,1,16301,1781,1,13710,0,9522,9424,0
1,1,1,0,20175,3394,8,9574,0,24104,24101,1
0,1,1,0,5687,3279,3,3588,0,9737,9806,0
2,1,1,1,22081,298,2,0,0,678,667,0
0,1,1,1,18505,2406,2,0,0,22580,22512,1
2,0,1,1,488,2156,2,13644,0,8579,8589,0
0,0,1,0,3201,1781,6,14059,0,3384,3362,0
1,1,0,1,15287,2668,8,13465,1,23354,23397,0
1,1,1,0,2407,4365,7,9552,1,8431,8430,1
1,0,1,0,17641,3541,2,9491,0,15034,14921,1
1,1,1,1,19287,4051,8,15704,1,22750,22773,0
1,0,1,1,19728,2156,1,6202,1,2715,2697,0
0,0,1,1,8522,2544,4,16337,0,950,946,1
1,1,1,0,18851,2276,2,6946,1,13482,13463,0
2,0,1,1,22858,781,2,0,1,13237,13196,0
2,1,1,1,9173,2803,1,11691,1,24419,24452,0
0,0,0,1,894,4470,10,0,2,12028,11938,1
1,0,0,1,22523,1161,4,11432,0,12331,12390,0
0,1,1,0,19089,3169,9,12853,0,9463,9482,0
0,1,0,0,23954,2668,5,0,1,15251,15447,1
1,1,1,1,14368,5221,4,5150,0,10853,11061,1
0,1,1,1,22496,1298,4,0,1,19001,19013,0
1,1,1,0,5648,1781,2,2661,0,7053,7085,0
2,1,0,0,17952,1038,7,0,1,19384,19373,0
1,1,1,0,4221,4306,7,12016,0,23293,23280,1
2,0,0,0,15716,2668,8,0,1,11218,11138,0
1,0,0,1,6290,2406,1,4321,1,12398,12437,0
0,1,1,1,3708,773,8,15742,0,10550,10534,0
2,1,1,1,84,3634,8,0,1,8196,8231,0
1,1,1,1,20522,2040,1,3322,1,13122,13067,0
0,1,0,0,15453,2156,8,0,1,8327,8197,0
2,1,0,1,11279,3169,6,0,0,19607,19571,0
1,0,0,1,9163,2918,5,11870,0,5424,5562,0
1,1,1,0,9613,3813,1,3089,0,19458,19466,1
1,0,1,1,14371,4321,2,10814,0,12696,12654,0
0,1,1,0,545,1527,4,0,0,13580,14035,0
2,1,0,1,19351,1298,8,0,1,11714,11439,0
0,0,1,1,11777,781,4,4545,0,22221,22234,1
0,0,1,0,23107,1248,4,0,1,19898,19902,0
0,0,1,1,1817,660,3,2757,0,7108,7026,0
1,1,1,1,19134,2544,7,12391,1,5421,5338,0
0,1,1,0,9509,2040,7,0,1,7746,7785,0
2,0,1,1,18354,4373,3,0,1,8203,8307,0
0,0,1,1,17775,1781,1,9746,1,25137,25149,0
1,0,0,0,1961,3279,9,8098,0,17081,17131,1
1,0,1,0,23056,3279,7,2801,0,17650,17636,1
0,0,1,0,23635,2779,4,14639,1,5005,4829,0
1,1,1,1,24345,4306,3,8340,0,3406,3351,1
1,1,0,1,12203,657,2,12162,1,19345,19325,0
1,0,1,0,844,3394,6,6856,1,9108,9122,0
1,1,1,0,21482,3169,10,13147,2,2271,2251,1
0,1,0,0,24254,1388,9,1267,0,14805,14820,0
0,1,1,0,6432,3541,8,0,0,7853,7994,0
0,1,0,0,20605,2156,7,624,0,19594,19587,0
1,1,1,0,15262,2668,8,14613,0,7840,7780,1
0,0,1,0,24450,3858,1,0,0,2813,2879,1
0,1,1,1,24459,3036,2,11609,1,9176,9145,0
2,1,1,0,17018,4051,6,0,0,17096,17078,1
0,0,1,0,4870,4283,5,0,0,6116,6081,1
2,0,0,0,24365,3232,6,7015,1,23991,24034,1
0,1,1,0,17623,3663,3,15380,1,20211,20135,0
0,1,1,0,9136,1916,7,0,1,3328,3328,0
2,0,1,1,996,2276,3,0,1,8371,8344,0
2,1,1,0,13631,2276,3,3061,1,4757,4693,0
1,0,1,1,25284,1652,6,12942,0,11681,11683,0
2,0,0,1,4304,1527,2,0,1,13181,13065,0
0,1,1,0,18395,2156,4,0,1,5,7,0
1,1,1,1,16190,2040,1,4004,1,6949,7435,0
2,1,0,0,6735,1038,6,12636,0,1757,1746,0
2,1,1,0,22616,2918,3,1232,0,4385,4416,0
0,0,1,1,15900,5231,2,0,0,8837,8807,0
0,0,0,1,24394,1418,4,7148,1,13400,13385,0
1,1,1,0,21102,1781,6,9363,1,14297,14480,0
0,0,1,1,6966,3394,9,6369,0,19239,19156,0
0,1,1,1,1518,5113,9,5753,0,19268,19297,0
1,0,0,0,533,4437,8,12127,2,20782,20729,1
0,1,1,0,201,1298,7,0,1,19927,19862,0
0,1,1,0,1855,2918,9,7752,1,5735,5699,1
0,1,1,0,13986,3279,6,10022,0,22931,22894,1
0,0,0,1,20374,1038,3,0,1,18359,18313,0
0,1,1,0,21112,3886,2,0,1,1549,1547,1
0,1,1,1,2071,2406,2,0,1,15040,15015,0
0,0,1,0,1738,657,3,0,1,19216,19239,0
2,1,1,1,22433,1038,4,0,1,25323,25336,0
1,1,0,1,9228,3541,7,9461,0,5009,5017,1
0,1,1,1,2475,922,1,0,0,24550,24539,0
0,1,1,1,4533,2406,6,2981,0,7826,7781,0
2,1,0,1,7639,2668,6,0,1,16368,16279,0
0,0,1,1,1915,1038,2,0,1,24522,24508,0
0,0,1,1,10134,5636,8,0,1,15357,15312,0
2,1,0,0,4386,2544,7,0,1,22595,22528,0
1,1,1,0,1745,1853,10,13570,1,10435,10526,0
1,0,1,0,19370,1174,9,5870,0,10783,10708,0
2,0,1,1,3380,2544,1,0,0,7295,7279,1
0,1,1,0,24656,2276,7,5234,0,5702,5652,0
2,0,0,0,17950,2406,8,16187,1,22566,22673,1
0,1,1,0,708,1652,5,0,1,23793,23759,1
1,0,1,0,24445,2544,3,7746,1,1718,1751,0
2,0,1,0,6282,518,4,0,1,16290,16278,0
2,1,0,1,6048,411,9,12093,0,24025,24068,0
2,0,0,1,1595,922,7,0,0,25247,25275,0
1,1,1,1,5322,3373,9,4443,1,7880,7905,1
2,1,1,0,5371,1038,6,8261,1,6333,6365,0
2,0,1,1,7089,2278,10,0,1,11763,11681,0
0,1,1,0,20673,2040,3,9146,1,16566,16522,0
1,0,1,1,8635,3033,10,13333,0,16433,16464,0
1,0,0,1,24989,4076,4,8880,0,3221,3216,1
2,0,1,1,23861,5334,3,0,1,15030,14940,0
0,0,1,0,1696,1418,3,0,1,25664,25666,0
0,1,1,0,1373,2040,4,2295,0,21965,21938,0
2,0,1,1,6394,922,6,7689,0,11120,11010,0
2,1,1,0,8130,1781,3,0,0,2758,2714,0
1,1,1,0,23148,1418,7,11950,0,9659,9668,1
0,1,1,1,2050,2040,4,0,0,23280,23348,0
1,1,1,1,4359,4490,2,15491,0,15046,14972,0
0,0,0,0,24504,1527,3,5436,0,20233,20188,0
1,1,1,0,20784,1652,9,2754,1,22736,22740,0
1,0,1,0,10671,2918,2,6910,3,6156,6192,1
0,0,1,1,21238,2918,7,0,0,23940,23777,0
0,0,1,0,17861,1527,8,0,1,23413,23391,0
1,0,0,0,912,3279,1,3371,1,6075,6141,0
0,1,1,0,9396,2918,0,0,0,25144,25169,1
0,1,1,0,3831,4450,2,0,1,8489,8545,0
0,1,1,1,2878,1916,7,0,0,3115,3090,0
0,0,0,0,899,1172,6,0,1,6135,6165,0
2,1,0,1,25064,3081,5,12783,0,5664,5656,0
2,0,1,1,18825,2276,6,5552,0,17365,17331,0
0,1,1,0,4383,1781,1,4060,0,24696,24675,0
2,1,1,1,8783,5390,9,0,1,4278,4440,0
2,0,1,1,23879,1952,9,0,1,5481,5459,0
0,0,1,1,15967,5857,10,2685,1,5302,5165,0
2,1,0,1,14471,1829,8,14836,1,10575,10392,0
1,0,1,0,1988,2803,9,7114,0,16596,16707,1
1,1,1,0,3796,2406,10,1759,1,2365,2359,0
0,1,0,0,9220,2276,1,0,1,5113,5133,0
0,1,1,0,12357,1992,4,7576,1,14452,14359,0
0,1,1,1,6141,1652,3,0,1,17872,17902,0
0,0,1,1,24886,1527,4,0,1,3602,3529,0
1,1,1,0,61,3110,2,11358,0,20199,20132,1
2,0,1,0,9797,2276,2,13020,0,10242,10180,0
0,0,1,0,14050,3791,9,12805,0,12508,12285,0
